t_us,score_t_us,latest_data_t_us,baseline_version,uses_future_data
483042043,483042043,1093116421,991082278,1
503840304,503840304,1093116421,991082278,1
523954424,523954424,1093116421,991082278,1
544120304,544120304,1093116421,991082278,1
564280953,564280953,1093116421,991082278,1
584359045,584359045,1093116421,991082278,1
604537710,604537710,1093116421,991082278,1
625119245,625119245,1093116421,991082278,1
645431581,645431581,1093116421,991082278,1
665822658,665822658,1093116421,991082278,1
686201757,686201757,1093116421,991082278,1
706364932,706364932,1093116421,991082278,1
726833293,726833293,1093116421,991082278,1
746925046,746925046,1093116421,991082278,1
766966843,766966843,1093116421,991082278,1
786988043,786988043,1093116421,991082278,1
807604900,807604900,1093116421,991082278,1
828282576,828282576,1093116421,991082278,1
848472495,848472495,1093116421,991082278,1
869023836,869023836,1093116421,991082278,1
889076043,889076043,1093116421,991082278,1
909677398,909677398,1093116421,991082278,1
930305527,930305527,1093116421,991082278,1
950310151,950310151,1093116421,991082278,1
970680359,970680359,1093116421,991082278,1
991082278,991082278,1093116421,991082278,1
1011253337,1011253337,1093116421,991082278,1
1031855619,1031855619,1093116421,991082278,1
1052169293,1052169293,1093116421,991082278,1
1072627154,1072627154,1093116421,991082278,1
1093116421,1093116421,1093116421,991082278,0
483042043,483042043,1113270157,991082278,1
503840304,503840304,1113270157,991082278,1
523954424,523954424,1113270157,991082278,1
544120304,544120304,1113270157,991082278,1
564280953,564280953,1113270157,991082278,1
584359045,584359045,1113270157,991082278,1
604537710,604537710,1113270157,991082278,1
625119245,625119245,1113270157,991082278,1
645431581,645431581,1113270157,991082278,1
665822658,665822658,1113270157,991082278,1
686201757,686201757,1113270157,991082278,1
706364932,706364932,1113270157,991082278,1
726833293,726833293,1113270157,991082278,1
746925046,746925046,1113270157,991082278,1
766966843,766966843,1113270157,991082278,1
786988043,786988043,1113270157,991082278,1
807604900,807604900,1113270157,991082278,1
828282576,828282576,1113270157,991082278,1
848472495,848472495,1113270157,991082278,1
869023836,869023836,1113270157,991082278,1
889076043,889076043,1113270157,991082278,1
909677398,909677398,1113270157,991082278,1
930305527,930305527,1113270157,991082278,1
950310151,950310151,1113270157,991082278,1
970680359,970680359,1113270157,991082278,1
991082278,991082278,1113270157,991082278,1
1011253337,1011253337,1113270157,991082278,1
1031855619,1031855619,1113270157,991082278,1
1052169293,1052169293,1113270157,991082278,1
1072627154,1072627154,1113270157,991082278,1
1093116421,1093116421,1113270157,991082278,1
1113270157,1113270157,1113270157,991082278,0
483042043,483042043,1133759761,991082278,1
503840304,503840304,1133759761,991082278,1
523954424,523954424,1133759761,991082278,1
544120304,544120304,1133759761,991082278,1
564280953,564280953,1133759761,991082278,1
584359045,584359045,1133759761,991082278,1
604537710,604537710,1133759761,991082278,1
625119245,625119245,1133759761,991082278,1
645431581,645431581,1133759761,991082278,1
665822658,665822658,1133759761,991082278,1
686201757,686201757,1133759761,991082278,1
706364932,706364932,1133759761,991082278,1
726833293,726833293,1133759761,991082278,1
746925046,746925046,1133759761,991082278,1
766966843,766966843,1133759761,991082278,1
786988043,786988043,1133759761,991082278,1
807604900,807604900,1133759761,991082278,1
828282576,828282576,1133759761,991082278,1
