t_us,window_start_t_us,window_end_t_us,sample_count,raw_min,raw_p05,raw_p50,raw_p95,raw_max,avg_p05,avg_p50,avg_p95,filtered_p05,filtered_p50,filtered_p95,filtered_std,filtered_peak_to_peak,clip_low_ratio,clip_high_ratio,wear_ratio,wear_transition_count,max_no_wear_run_ms,candidate_count,detector_score_p50,expected_rr_ms_p50,firmware_hr_bpm_p50,firmware_hr_zero_ratio,effective_sample_rate_hz,timing_jitter_p95_ms,sqi,sqi_wear_ratio,sqi_clip_low_ratio,sqi_clip_high_ratio,protocol_error_ratio,protocol_seq_gaps,sample_drop_count,sample_queue_depth,sample_queue_high_water,corrector_reference_rr_ms,corrector_autocorr_confidence,corrector_polarity,corrector_candidate_count,corrector_selected_count,corrector_inserted_count,corrector_firmware_matched_count
701630043,696630045,701630043,626,0.000000,11.250000,81.500000,487.750000,525.000000,15.250000,98.000000,460.000000,-152.000000,-71.000000,267.500000,149.308766,470.000000,0.015974,0.000000,1.000000,0,0.000000,28,0.527000,795.200000,77.300000,0.000000,125.000000,0.004000,0.963758,1.000000,0.015974,0.000000,0.000000,0,0,0,4,681.462400,0.696241,1,29,0,0,0
706630046,701638043,706630046,625,0.000000,0.000000,75.000000,547.800000,619.000000,0.000000,87.000000,523.000000,-170.000000,-81.000000,331.600000,175.560314,571.000000,0.137600,0.000000,1.000000,0,0.000000,26,0.524000,795.200000,77.300000,0.000000,125.000000,0.004000,0.690100,1.000000,0.137600,0.000000,0.000000,0,0,0,4,643.042560,0.758048,1,30,0,0,0
711638043,706638043,711638043,626,0.000000,0.000000,82.500000,584.000000,648.000000,2.000000,87.000000,560.000000,-173.000000,-81.000000,368.500000,180.429360,600.000000,0.092652,0.000000,1.000000,0,0.000000,20,0.506000,795.200000,77.300000,0.000000,125.000000,0.004000,0.791234,1.000000,0.092652,0.000000,0.000000,0,0,0,4,632.259520,0.505137,1,29,0,0,0
716638043,711638043,716638043,626,7.000000,20.250000,97.000000,527.000000,576.000000,24.000000,103.000000,499.750000,-149.500000,-67.500000,307.000000,157.427828,513.000000,0.000000,0.000000,1.000000,0,0.000000,15,0.494500,795.200000,77.300000,0.000000,125.000000,0.004000,0.999700,1.000000,0.000000,0.000000,0.000000,0,0,0,4,680.042880,0.454382,1,28,0,0,0
721638043,716638043,721638043,626,0.000000,16.000000,88.500000,536.500000,580.000000,19.000000,92.500000,511.500000,-154.000000,-79.000000,319.000000,159.920600,521.000000,0.001597,0.000000,1.000000,0,0.000000,18,0.506000,795.200000,77.300000,0.000000,125.000000,0.004000,0.996106,1.000000,0.001597,0.000000,0.000000,0,0,0,4,764.517440,0.644790,1,26,0,0,0
726638043,721638043,726638043,626,2.000000,12.000000,84.000000,529.750000,568.000000,15.000000,88.500000,503.750000,-158.000000,-83.500000,312.000000,155.820399,511.000000,0.000000,0.000000,1.000000,0,0.000000,17,0.509000,795.200000,77.300000,0.000000,125.000000,0.004000,0.999700,1.000000,0.000000,0.000000,0.000000,0,0,0,4,749.008960,0.769806,1,25,1,0,1
731638043,726638043,731638043,626,0.000000,27.250000,99.000000,491.750000,546.000000,28.000000,108.500000,464.000000,-139.000000,-62.500000,272.750000,148.214361,501.000000,0.019169,0.000000,1.000000,0,0.000000,26,0.516000,795.200000,77.300000,0.000000,125.000000,0.003000,0.956644,1.000000,0.019169,0.000000,0.000000,0,0,0,4,733.016320,0.829837,1,27,0,0,0
736638044,731646045,736638044,625,0.000000,0.000000,74.000000,607.400000,681.000000,0.000000,80.000000,582.000000,-178.000000,-86.000000,389.600000,188.534275,636.000000,0.172800,0.000000,1.000000,0,0.000000,20,0.521000,795.200000,77.300000,0.000000,125.000000,0.004000,0.610900,1.000000,0.172800,0.000000,0.000000,0,0,0,4,748.697920,0.611419,1,26,0,0,0
741646043,736646043,741646043,626,0.000000,8.250000,104.500000,565.500000,625.000000,11.000000,104.500000,537.750000,-167.750000,-58.500000,344.750000,171.183461,578.000000,0.009585,0.000000,1.000000,0,0.000000,17,0.509000,795.200000,77.300000,0.000000,125.000000,0.004000,0.978135,1.000000,0.009585,0.000000,0.000000,0,0,0,4,848.000000,0.527503,1,26,1,0,1
746646045,741654043,746646045,625,8.000000,18.200000,96.000000,551.800000,603.000000,21.000000,99.000000,527.800000,-158.000000,-72.000000,331.800000,157.790817,541.000000,0.000000,0.000000,1.000000,0,0.000000,16,0.508000,795.200000,77.300000,0.000000,125.000000,0.004000,0.999700,1.000000,0.000000,0.000000,0.000000,0,0,0,4,892.960320,0.662618,1,24,0,0,0
