t_us,last_committed_t_us,polarity,template_correlation,autocorr_estimated_rr_ms,firmware_expected_rr_ms,candidate_peak_count,final_peak_count,inserted_peak_count,firmware_matched_count,multiscale_peak_count,elgendi_peak_count,dual_detector_peak_count,single_detector_peak_count,detector_consensus_ratio,detector_time_spread_p95_ms,stable_reference_rr_ms,local_dual_rr_ms,local_dual_rr_robust_cv,reference_update_reason,rejected_candidate_count,long_gap_rescue_count,waveform_amplitude,commit_until_t_us,latest_sample_t_us,reinit_reason
68037029920,68029149917,1,0.750000,799.999000,792.000000,32,0,0,0,32,24,24,8,0.750000,0.000000,799.980127,799.999000,0.059295,dual_consensus_update,0,0,5.385965,68029715920,68036965920,
68042029920,68033933918,1,0.757576,768.002000,791.999000,33,0,0,0,33,25,25,8,0.757576,0.000000,777.963873,768.002000,0.054056,dual_consensus_update,0,0,5.585259,68034603920,68041853920,
68047037918,68039333920,1,0.857143,792.001000,783.999000,28,0,0,0,28,24,24,4,0.857143,0.000000,790.266813,792.001000,0.044929,dual_consensus_update,0,0,5.889421,68039723918,68046973918,
68052037919,68044037916,1,0.892857,780.001000,784.001000,28,0,0,0,28,25,25,3,0.892857,0.000000,784.110746,780.001000,0.060824,dual_consensus_update,0,0,5.795884,68044595920,68051845920,
68057037919,68049517921,1,0.892857,776.001500,776.002000,28,1,0,1,28,25,25,3,0.892857,0.000000,774.160657,776.001500,0.068776,dual_consensus_update,0,0,6.000000,68049659920,68056909920,
68062037920,68054101920,1,0.888889,784.002000,788.001500,27,0,0,0,27,24,24,3,0.888889,0.000000,787.287978,784.002000,0.060510,dual_consensus_update,0,0,6.000000,68054739920,68061989920,
68067045920,68058941917,1,0.925926,775.999500,776.002000,27,1,0,1,27,25,25,2,0.925926,0.000000,776.016468,775.999500,0.045854,dual_strong_update,0,0,6.000000,68059795920,68067045920,
68072045920,68064333921,1,0.961538,767.998500,748.002500,26,0,0,0,26,25,25,1,0.961538,0.000000,770.786938,767.998500,0.061774,dual_strong_update,0,0,6.000000,68064675917,68071925917,
68077045920,68069533916,1,0.962963,760.000000,736.001000,27,0,0,0,27,26,26,1,0.962963,0.000000,756.961995,760.000000,0.046821,dual_strong_update,0,0,5.189153,68069755921,68077005921,
68082053920,68074485918,1,0.812500,759.999000,760.000000,32,1,0,1,32,26,26,6,0.812500,0.000000,758.988916,759.999000,0.046819,dual_consensus_update,0,0,5.750844,68074643921,68081893921,
68087053920,68079045917,1,0.764706,751.998000,760.000000,34,0,0,0,34,26,26,8,0.764706,0.000000,747.370713,751.998000,0.031555,dual_consensus_update,1,0,6.000000,68079731920,68086981920,
68092061921,68084317916,1,0.787879,759.999000,744.000000,33,0,0,0,33,26,26,7,0.787879,0.000000,759.965911,759.999000,0.046815,dual_consensus_update,0,0,6.000000,68084635920,68091885920,
68097069918,68089533916,1,0.875000,720.000000,696.004000,32,1,0,1,32,28,28,4,0.875000,0.000000,730.072523,720.000000,0.098840,dual_consensus_update,0,0,5.701927,68089715920,68096965920,
68102077920,68094261921,1,0.900000,675.999500,672.003000,30,0,0,0,30,27,27,3,0.900000,0.000000,679.188141,675.999500,0.061418,dual_strong_update,0,0,4.915534,68094803920,68102053920,
68107085917,68099461920,1,0.933333,664.000000,672.003000,30,0,0,0,30,28,28,2,0.933333,0.000000,665.453564,664.000000,0.053586,dual_strong_update,0,0,5.061477,68099675920,68106925920,
68112085920,68104141920,1,0.848485,679.997000,720.001500,33,0,0,0,33,28,28,5,0.848485,0.000000,675.207756,679.997000,0.087206,dual_consensus_update,0,0,5.471722,68104739918,68111989918,
68117093920,68109485920,1,0.818182,716.003500,739.998000,33,0,0,0,33,27,27,6,0.818182,0.000000,712.825286,716.003500,0.082818,dual_consensus_update,0,0,5.775067,68109803920,68117053920,
68122093920,68114605920,1,0.812500,736.000000,728.004000,32,1,0,1,32,26,26,6,0.812500,0.000000,735.566202,736.000000,0.048344,dual_consensus_update,0,0,5.181129,68114699920,68121949920,
68127093920,68119733920,1,0.896552,744.000000,751.998000,29,1,0,1,29,26,26,3,0.896552,0.000000,743.993362,744.000000,0.031892,dual_consensus_update,0,0,4.577597,68119779921,68127029921,
68132101920,68124285920,1,0.925926,759.996500,775.999500,27,0,0,0,27,25,25,2,0.925926,0.000000,757.504227,759.996500,0.031218,dual_strong_update,0,0,5.046262,68124659920,68131909920,
68137101920,68129709917,1,0.888889,776.000000,800.001000,27,1,0,1,27,24,24,3,0.888889,0.000000,775.475696,776.000000,0.045856,dual_consensus_update,1,0,5.086035,68129763920,68137013920,
68142101920,68134733920,1,0.833333,767.998000,807.999000,30,1,0,1,30,25,25,5,0.833333,0.000000,768.331397,767.998000,0.084944,dual_consensus_update,0,0,5.482329,68134827920,68142077920,
68147101920,68139693920,1,0.806452,775.999500,748.000000,31,1,0,0,31,25,25,6,0.806452,0.000000,770.928096,775.999500,0.084066,dual_consensus_update,0,0,5.594069,68139731921,68146981921,
68152109919,68144141919,1,0.866667,752.000000,768.000500,30,0,0,0,30,26,26,4,0.866667,0.000000,756.600681,752.000000,0.078864,dual_consensus_update,0,0,5.299027,68144827920,68152077920,
68157109920,68149573921,1,0.764706,735.997000,767.999000,34,1,0,1,33,27,26,8,0.764706,0.000000,730.178462,735.997000,0.064473,dual_consensus_update,0,0,5.190615,68149715921,68156965921,
68162109920,68154597920,1,0.838710,743.997000,736.002000,31,1,0,1,31,26,26,5,0.838710,0.000000,742.221431,743.997000,0.047840,dual_consensus_update,0,0,5.694354,68154795917,68162045917,
68167109921,68159653920,1,0.843750,724.000000,736.000000,32,1,0,1,32,27,27,5,0.843750,0.000000,727.190124,724.000000,0.065529,dual_consensus_update,0,0,4.848618,68159683916,68166933916,
68172117919,68164725920,1,0.818182,719.997500,736.000000,33,1,0,1,33,27,27,6,0.818182,0.000000,718.761137,719.997500,0.057657,dual_consensus_update,0,0,4.569821,68164787920,68172037920,
68177117920,68169341921,1,0.702703,680.003000,688.001000,37,0,0,0,36,27,26,11,0.702703,0.000000,705.193498,695.997000,0.051133,hold_previous_good_window,0,0,4.118425,68169667921,68176917921,
68182117921,68174213921,1,0.750000,680.001000,671.998500,36,0,0,0,36,27,27,9,0.750000,0.000000,683.191242,680.001000,0.069769,dual_consensus_update,0,0,3.804298,68174763917,68182013917,
68187125916,68179525916,1,0.750000,707.999500,728.000000,36,0,0,0,36,27,27,9,0.750000,0.000000,695.759975,707.999500,0.058633,dual_consensus_update,0,0,3.452401,68179835920,68187085920,
68192125920,68184661920,1,0.794118,712.002000,736.003000,34,1,0,1,34,27,27,7,0.794118,0.000000,711.814519,712.002000,0.083287,dual_consensus_update,0,0,3.592733,68184723916,68191973916,
68197125920,68189077917,1,0.818182,728.000000,736.003000,33,0,0,0,33,27,27,6,0.818182,0.000000,727.899627,728.000000,0.048877,dual_consensus_update,0,0,3.674186,68189803920,68197053920,
